z_mm,outer_radius_mm,inner_radius_mm
0.0,38.27531841800928,32
0.4166666666666667,38.61440068994924,32
0.8333333333333334,38.953482961889215,32
1.25,39.29256523382918,32
1.6666666666666667,39.63164750576915,32
2.0833333333333335,39.970729777709124,32
2.5,40.30981204964909,32
2.916666666666667,40.64889432158906,32
3.3333333333333335,40.98797659352903,32
3.7500000000000004,41.327058865469,32
4.166666666666667,41.66614113740897,32
4.583333333333333,42.005223409348936,32
5.0,42.34430568128891,32
5.416666666666667,42.68338795322887,32
5.833333333333334,43.022470225168846,32
6.25,43.36155249710881,32
6.666666666666667,43.70063476904878,32
7.083333333333334,44.039717040988755,32
7.500000000000001,44.37879931292872,32
7.916666666666667,44.71788158486869,32
8.333333333333334,45.05696385680866,32
8.75,45.39604612874863,32
9.166666666666666,45.735128400688595,32
9.583333333333334,46.07421067262857,32
10.0,46.41329294456854,32
10.416666666666668,46.752375216508504,32
10.833333333333334,47.09145748844847,32
11.250000000000002,47.43053976038844,32
11.666666666666668,47.769622032328414,32
12.083333333333336,48.108704304268386,32
12.5,48.44778657620835,32
12.916666666666668,48.786868848148316,32
13.333333333333334,49.12595112008829,32
13.75,49.46503339202825,32
14.166666666666668,49.804115663968226,32
14.583333333333334,50.1431979359082,32
15.000000000000002,50.48228020784817,32
15.416666666666668,50.821362479788135,32
15.833333333333334,51.1604447517281,32
16.25,51.49952702366807,32
16.666666666666668,51.83860929560804,32
17.083333333333336,52.17769156754802,32
17.5,52.51677383948798,32
17.916666666666668,52.85585611142795,32
18.333333333333332,53.19493838336792,32
18.750000000000004,53.53402065530789,32
19.166666666666668,53.87310292724786,32
19.583333333333336,54.21218519918783,32
20.0,54.55126747112779,32
20.416666666666668,54.890349743067766,32
20.833333333333336,55.22943201500774,32
21.25,55.5685142869477,32
21.666666666666668,55.907596558887676,32
22.083333333333332,56.24667883082764,32
22.500000000000004,56.58576110276761,32
22.916666666666668,56.92484337470758,32
23.333333333333336,57.26392564664755,32
23.75,57.603007918587515,32
24.16666666666667,57.94209019052749,32
24.583333333333336,58.28117246246746,32
25.0,58.620254734407425,32
25.416666666666668,58.9593370063474,32
25.833333333333336,59.29841927828737,32
26.250000000000004,59.637501550227334,32
26.666666666666668,59.976583822167306,32
27.083333333333336,60.315666094107264,32
27.5,60.654748366047244,32
27.916666666666668,60.99383063798721,32
