frequency_hz,spl_db,pressure_real_pa,pressure_imag_pa,impedance_real_ohm,impedance_imag_ohm,excursion_peak_mm,throat_velocity_rms_m_s
300.0,97.52498986615714,-0.3064367840798672,1.4725631554360046,8.126070315190429,-9.673346037175298,0.16825509163573055,0.6565416551996832
301.7584122557068,97.57878266465,-0.2442058485922733,1.4936216034757945,8.031846266878665,-9.474223180527783,0.16670614255542462,0.6543608358309068
303.52713122361683,97.6323293091088,-0.18043676747423937,1.5120849125419318,7.942894937783838,-9.28167552840503,0.16516038513453835,0.6521442023466799
305.3062173152268,97.68563844461637,-0.11522962355244831,1.5278483894370003,7.858840601349697,-9.09539493207786,0.16361812555552527,0.6498926899757176
307.0957312961286,97.73871871039873,-0.04869097480122399,1.5408103698926872,7.7793400900181355,-8.915090229503981,0.1620796641605549,0.6476072375572114
308.8957342880829,97.7915787298183,0.01906616613622476,1.5508725721903451,7.704079523085213,-8.74048631120385,0.16054529530782954,0.645288786690105
310.7062877711085,97.84422710030333,0.08792236815345521,1.5579404574303355,7.6327714050611135,-8.571323215625426,0.15901530724135904,0.6429382809087876
312.52745358558127,97.8966723832042,0.1577518342738434,1.5619235960391558,7.5651520483108206,-8.407355259379816,0.15748998197407926,0.6405566648864123
314.35929393434685,97.94892309358693,0.22842247130672882,1.5627360400725185,7.500979279987684,-8.24835020574629,0.15596959518415507,0.6381448836669189
316.2018713848447,98.00098768995142,0.2997959772571176,1.5602967008319302,7.440030398613639,-8.094088473348226,0.15445441612428237,0.6357038819267159
318.0552488712463,98.05287456388812,0.3717279471947713,1.5545297312764137,7.382100350240175,-7.944362385778856,0.15294470754377043,0.6332346032668823
319.9194896966031,98.10459202965914,0.4440679983021101,1.5453649126629032,7.327000098058283,-7.79897546212553,0.1514407256231639,0.6307379895366262
321.7946575350095,98.15614831370651,0.5166599148347548,1.5327380448045091,7.274555162708081,-7.657741747733649,0.14994271992112956,0.6282149801886254
323.68081643377775,98.20755154408509,0.589341813740833,1.5165913392840116,7.2246043134526206,-7.520485184119492,0.14845093333331627,0.6256665116667747
325.5780308156251,98.25880973981548,0.6619463316967481,1.4968738149047955,7.176998392893154,-7.387039016640962,0.14696560206287318,0.6230935168267594
327.4863654808752,98.30993080015233,0.7343008343269,1.4735416946021058,7.13159926007354,-7.257245238337435,0.14548695560228778,0.620496924389762
329.40588560966984,98.36092249376489,0.8062276483826145,1.446558802974607,7.088278838699747,-7.130954068230506,0.1440152167261948,0.61787765842953
331.33665676419633,98.41179244781853,0.877544317660686,1.4158969635265135,7.046918258826836,-7.0080234623148305,0.1425506014947821,0.615236637892914
333.2787448909264,98.46254813696191,0.9480638834454981,1.381536394640929,7.007407081778096,-6.888318655451626,0.14109331926741359,0.6125747761539113
