frequency_hz,spl_db,pressure_real_pa,pressure_imag_pa,impedance_real_ohm,impedance_imag_ohm,excursion_peak_mm,throat_velocity_rms_m_s
300.0,96.37594786616725,-0.12252255457960548,1.3120244730525765,7.494852773147075,-6.755063499924994,0.15156987575383415,1.265420121378701
301.7584122557068,96.42933640822945,-0.06818904425953136,1.3241027500954499,7.4421402089603275,-6.6500523674766185,0.1502197292947728,1.2616199008182925
303.52713122361683,96.48262861999733,-0.012785014044198937,1.3339559261799034,7.391425301484465,-6.5471422379632696,0.14887479473382237,1.2577750280695223
305.3062173152268,96.5358285873607,0.04360594695390582,1.3415044269238667,7.342613026845178,-6.446271043362731,0.14753518962563264,1.2538863526232369
307.0957312961286,96.58894036518961,0.10089510673171825,1.3466710147140444,7.295613876982257,-6.347378675275217,0.14620102910343133,1.2499547279700818
308.8957342880829,96.64196797306913,0.15898858282773878,1.3493810761724707,7.250343489898705,-6.2504069458022515,0.14487242586706545,1.245981011259267
310.7062877711085,96.69491539092672,0.21778734765161936,1.3495629176135073,7.206722307684467,-6.155299544923137,0.1435494901735109,1.2419660629682758
312.52745358558127,96.7477865545398,0.2771872474789287,1.3471480681654153,7.164675260034428,-6.062001995213276,0.14223232982981812,1.2379107465839059
314.35929393434685,96.80058535092832,0.33707903589442784,1.3420715901871991,7.124131471179205,-5.970461604617493,0.14092105018845613,1.2338159282950252
316.2018713848447,96.85331561361721,0.3973484224804598,1.3342723965592684,7.085023988328842,-5.880627417879769,0.13961575414501665,1.2296824766973777
318.0552488712463,96.90598111777831,0.4578761375601796,1.3236935743780947,7.047289529894009,-5.792450167134522,0.13831654213823363,1.225511262510774
319.9194896966031,96.95858557523665,0.5185380138148888,1.3102827145265252,7.010868251899515,-5.705882222082741,0.13702351215227793,1.2213031583089773
321.7946575350095,97.01113262934085,0.5792050856040126,1.2939922465353317,6.97570353114095,-5.620877540105302,0.1357367597212749,1.2170590382625552
323.68081643377775,97.06362584969429,0.6397437068221242,1.2747797780899979,6.941741763759533,-5.537391616606113,0.1344563779359982,1.2127797778949634
325.5780308156251,97.11606872674194,0.7000156881311663,1.2526084384718843,6.908932178022977,-5.455381435826085,0.13318245745268817,1.208466253852104
327.4863654808752,97.16846466620683,0.7598784544068067,1.2274472251550486,6.877226660202721,-5.374805422324522,0.13191508650393813,1.2041193436855588
329.40588560966984,97.22081698337489,0.8191852232355289,1.1992713527095162,6.8465795925316115,-5.295623393287764,0.13065435091159713,1.1997399256497052
331.33665676419633,97.27312889721624,0.8777852052927515,1.168062603085791,6.816947702310832,-5.217796511791861,0.1294003341016251,1.1953288785128562
333.2787448909264,97.32540352434968,0.9355238274235159,1.133809676280111,6.78828992131268,-5.1412872411196675,0.12815311712084354,1.190887081382571
335.2322163228685,97.37764387283364,0.9922429792314772,1.0965085402955606,6.760567254696326,-5.0660593002092424,0.12691277865551984,1.1864154135452596
337.19713778183467,97.42985283578797,1.0477812839647906,1.0561627792322161,6.73374265871793,-4.992077620290559,0.12567939505171768,1.1819147543201407
339.17357638071724,97.48203318483617,1.1019743944620275,1.01278393825,6.707780926575424,-4.919308302751419,0.12445304033735206,1.177385982927632
341.16159962578297,97.53418756336232,1.154655314891982,0.9663918640570396,6.682648581781567,-4.8477185782588235,0.12323378624587542,1.172829978372175
343.1612754189778,97.58631847958823,1.2056547489867748,0.9170150394839337,6.658313778508039,-4.777276767150801,0.12202170224152876,1.1682476193395022
345.17267206024667,97.63842829945014,1.254801475421824,0.8646909106037569,6.634746208387688,-4.7079522411034285,0.1208168555460839,1.1636397841083037
347.19585824986547,97.69051923928517,1.3019227509503055,0.8094662047616624,6.611917013303136,-4.639715386069769,0.11961931116700363,1.1590073504762253
349.2309030907893,97.74259335831286,1.3468447418390463,0.7513972377724899,6.589798703726922,-4.572537566480294,0.11842913192694181,1.1543511957000707
351.27787609101046,97.79465255091269,1.3893929840884152,0.6905502084423417,6.568365082212741,-4.506391090689208,0.11724637849450885,1.1496721964500858
353.33684716593393,97.84669853869562,1.4293928728439094,0.6270014784627268,6.547591171668303,-4.441249177645896,0.11607110941621837,1.144971228778123
