z_mm,outer_radius_mm,inner_radius_mm
0.0,49.678969393496885,32
0.4166666666666667,49.83003949551856,32
0.8333333333333334,49.98110959754023,32
1.25,50.13217969956192,32
1.6666666666666667,50.283249801583594,32
2.0833333333333335,50.43431990360527,32
2.5,50.58539000562694,32
2.916666666666667,50.736460107648625,32
3.3333333333333335,50.8875302096703,32
3.7500000000000004,51.03860031169198,32
4.166666666666667,51.18967041371366,32
4.583333333333333,51.340740515735334,32
5.0,51.49181061775701,32
5.416666666666667,51.64288071977868,32
5.833333333333334,51.793950821800365,32
6.25,51.94502092382204,32
6.666666666666667,52.09609102584372,32
7.083333333333334,52.24716112786539,32
7.500000000000001,52.398231229887074,32
7.916666666666667,52.54930133190875,32
8.333333333333334,52.70037143393042,32
8.75,52.8514415359521,32
9.166666666666666,53.00251163797378,32
9.583333333333334,53.15358173999546,32
10.0,53.30465184201713,32
10.416666666666668,53.45572194403881,32
10.833333333333334,53.60679204606049,32
11.250000000000002,53.75786214808217,32
11.666666666666668,53.90893225010384,32
12.083333333333336,54.06000235212552,32
12.5,54.2110724541472,32
12.916666666666668,54.36214255616888,32
13.333333333333334,54.51321265819055,32
13.75,54.66428276021223,32
14.166666666666668,54.81535286223391,32
14.583333333333334,54.96642296425558,32
15.000000000000002,55.117493066277255,32
15.416666666666668,55.26856316829894,32
15.833333333333334,55.41963327032061,32
16.25,55.57070337234229,32
16.666666666666668,55.721773474363964,32
17.083333333333336,55.87284357638565,32
17.5,56.023913678407325,32
17.916666666666668,56.174983780428995,32
18.333333333333332,56.32605388245067,32
18.750000000000004,56.47712398447236,32
19.166666666666668,56.62819408649403,32
19.583333333333336,56.779264188515704,32
20.0,56.93033429053739,32
20.416666666666668,57.08140439255906,32
20.833333333333336,57.232474494580735,32
21.25,57.38354459660241,32
21.666666666666668,57.5346146986241,32
22.083333333333332,57.68568480064577,32
22.500000000000004,57.836754902667444,32
22.916666666666668,57.98782500468912,32
23.333333333333336,58.138895106710805,32
23.75,58.289965208732475,32
24.16666666666667,58.44103531075415,32
24.583333333333336,58.59210541277583,32
25.0,58.74317551479751,32
25.416666666666668,58.894245616819184,32
25.833333333333336,59.04531571884086,32
26.250000000000004,59.196385820862545,32
26.666666666666668,59.34745592288422,32
27.083333333333336,59.49852602490589,32
27.5,59.64959612692757,32
27.916666666666668,59.800666228949254,32
28.333333333333336,59.951736330970924,32
28.75,60.1028064329926,32
29.166666666666668,60.25387653501428,32
29.583333333333336,60.404946637035955,32
30.000000000000004,60.55601673905763,32
30.416666666666668,60.70708684107931,32
30.833333333333336,60.85815694310098,32
31.25,61.009227045122664,32
31.666666666666668,61.16029714714434,32
32.083333333333336,61.31136724916602,32
32.5,61.462437351187695,32
32.91666666666667,61.61350745320937,32
33.333333333333336,61.76457755523105,32
33.75,61.91564765725273,32
34.16666666666667,62.066717759274404,32
34.583333333333336,62.21778786129608,32
35.0,62.36885796331776,32
35.416666666666664,62.51992806533943,32
35.833333333333336,62.67099816736112,32
36.25000000000001,62.82206826938279,32
36.666666666666664,62.97313837140446,32
37.083333333333336,63.124208473426144,32
37.50000000000001,63.27527857544782,32
37.91666666666667,63.42634867746949,32
38.333333333333336,63.577418779491175,32
38.75,63.728488881512845,32
39.16666666666667,63.87955898353454,32
39.583333333333336,64.0306290855562,32
40.0,64.18169918757788,32
40.41666666666667,64.33276928959957,32
40.833333333333336,64.48383939162123,32
41.25,64.63490949364291,32
41.66666666666667,64.7859795956646,32
42.083333333333336,64.93704969768626,32
42.5,65.08811979970794,32
42.91666666666667,65.23918990172963,32
43.333333333333336,65.3902600037513,32
43.75000000000001,65.54133010577299,32
44.166666666666664,65.69240020779465,32
44.583333333333336,65.84347030981633,32
45.00000000000001,65.99454041183802,32
45.416666666666664,66.14561051385968,32
45.833333333333336,66.29668061588137,32
46.25000000000001,66.44775071790305,32
46.66666666666667,66.59882081992471,32
47.083333333333336,66.74989092194639,32
47.5,66.90096102396807,32
47.91666666666667,67.05203112598974,32
48.33333333333334,67.20310122801143,32
48.75,67.3541713300331,32
49.16666666666667,67.50524143205477,32
49.583333333333336,67.65631153407645,32
50.0,67.80738163609813,32
50.41666666666667,67.95845173811982,32
50.833333333333336,68.1095218401415,32
51.25000000000001,68.26059194216316,32
51.66666666666667,68.41166204418484,32
52.083333333333336,68.56273214620651,32
52.50000000000001,68.71380224822819,32
52.916666666666664,68.86487235024988,32
53.333333333333336,69.01594245227155,32
53.75000000000001,69.16701255429322,32
54.16666666666667,69.3180826563149,32
54.583333333333336,69.46915275833658,32
55.0,69.62022286035825,32
55.41666666666667,69.77129296237993,32
55.833333333333336,69.92236306440161,32
56.25,70.07343316642329,32
56.66666666666667,70.22450326844496,32
57.08333333333334,70.37557337046664,32
57.5,70.52664347248833,32
57.91666666666667,70.67771357451,32
58.333333333333336,70.82878367653167,32
58.75000000000001,70.97985377855335,32
59.16666666666667,71.13092388057503,32
59.583333333333336,71.2819939825967,32
60.00000000000001,71.43306408461838,32
60.416666666666664,71.58413418664006,32
60.833333333333336,71.73520428866173,32
