profile,equivalent_throat_diameter_m,mouth_diameter_m,length_m,body_diameter_m,body_length_m,outer_throat_diameter_mm,radial_gap_mm,throat_area_cm2,compression_ratio,ripple_db,mean_spl_db,spl_7000_db,level_7000_relative_mid_db,max_excursion_mm,max_throat_speed_m_s,max_input_power_w
exponential,0.076,0.245,0.25,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,5.263847891242804,105.65093710499711,103.62558476757889,-2.5665104449712857,0.10541844259496579,0.44016169066302346,1.4714668798091994
exponential,0.076,0.21,0.25,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,5.660209059769457,104.71537250653655,102.52729528631477,-2.4965589561665524,0.09363999595637008,0.4321730889684818,1.4723738453955273
exponential,0.076,0.245,0.3,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,5.671818534667679,105.73797736712137,103.56516275616755,-2.6657555360722682,0.08959894995607091,0.46492858841324936,1.472729901716341
os,0.076,0.245,0.3,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,5.767350872611814,106.00205206069664,103.37650988272924,-3.5310673833920134,0.07736096293736354,0.4170260929844257,1.471766786944155
exponential,0.076,0.28,0.3,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,5.916533454793239,106.58783867149344,104.55700944081227,-2.739671207320768,0.08858910401713715,0.4388897009592769,1.4720153633558164
os,0.076,0.28,0.3,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,6.043901810132013,106.80911373274195,104.38856692378397,-3.7311473228760974,0.0904995137060853,0.40174058196772555,1.4693422070432383
hyperbolic,0.076,0.245,0.3,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,6.113124156632921,106.1335482446798,103.18827107620562,-3.529349759969108,0.07212448813465364,0.3880468791501055,1.4757671295117207
conical,0.076,0.245,0.25,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,6.1687249109616715,105.30535630757831,103.8039320325838,-1.8859645748578941,0.10552197274703365,0.4461466692395597,1.4725359326694163
conical,0.076,0.21,0.2,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,6.190399526707253,104.29535943531965,102.72606976017701,-1.4271816841646086,0.12157757701115589,0.5045662224329254,1.4710534576098229
exponential,0.076,0.21,0.3,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,6.294488823151724,104.72068873404709,102.47565692284071,-2.549588170766171,0.09860694259484079,0.5016571076367827,1.4719190992348872
exponential,0.076,0.32,0.3,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,6.298868619005475,107.3955282283775,105.3598201544416,-2.982978126316226,0.10201839178009395,0.42467937130256245,1.4697386102004608
os,0.076,0.21,0.25,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,6.326163979089657,104.94378457196146,102.3256977289713,-3.317069378274354,0.0938852243175034,0.3953057488473718,1.4718649855331372
os,0.076,0.245,0.25,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,6.394352262919796,105.87367682902307,103.44445422950402,-3.5503143165022237,0.10480855588739524,0.4383019544489835,1.470321598936469
