frequency_hz,mid_pressure_real_pa,mid_pressure_imag_pa,impedance_real_ohm,impedance_imag_ohm,excursion_peak_mm,throat_velocity_rms_m_s,baseline_same_front_rear_db,baseline_original_assumptions_tmm_db,spl_front_0cc_db,spl_front_5cc_db,spl_front_10cc_db,spl_front_20cc_db,spl_front_40cc_db,spl_front_60cc_db
226.274,-1.3901973587035825,0.14082835825391038,6.731260142689653,-6.190173087307701,0.22205069091162852,1.0401548050131473,98.15331697921239,96.07881904264781,96.80799130518557,96.82727776279675,96.84658625175489,96.88526896796078,96.96289474034526,97.0408623221502
227.77649120828488,-1.3940477247009473,0.1969950991412026,6.678795001389493,-6.057076474589953,0.21889015558244196,1.032396611464894,98.23616765350913,96.17206484422765,96.87292129137833,96.89236342938904,96.91182773972321,96.9508225011596,97.02907382485249,97.10766860578684
229.28895916966965,-1.3956961398607626,0.25390232312804023,6.629260007857519,-5.9280636878202575,0.21574632802363908,1.0245672631890583,98.31944948328322,96.266293553687,96.93808206413192,96.957682363662,96.9773049812598,97.01661677331656,97.09550366847662,97.17473572415963
230.8114701311996,-1.3950866867485827,0.3114751663541244,6.582455172829147,-5.802937158888232,0.21261983278634083,1.016669649891592,98.40320017006695,96.36152783080222,97.00350818573236,97.0232692084819,97.04305269999116,97.08268667008718,97.1622194827357,97.24209921657625
232.34409077980877,-1.3921651352139628,0.36963595158289875,6.538197569315632,-5.681510310719893,0.20951125439518015,1.0087065559428599,98.48745754527948,96.45779073529394,97.06923438281001,97.08915877064769,97.10910578304893,97.14906723972743,97.22925663971955,97.30979478055902
233.88688824524277,-1.386879012185119,0.42830417877025345,6.4963196706137385,-5.563606869112314,0.20642113773750925,1.0006806572966358,98.57225955154777,96.55510572778985,97.13529554246193,97.15538601695476,97.17549927707353,97.21579368897176,97.29665066769851,97.37785826715502
235.43993010299724,-1.3791776735391033,0.48739651200670037,6.456667873394053,-5.449060212702564,0.2033499885157987,0.992594518678626,98.65764422403474,96.6534966698162,97.20172670963693,97.22198607152066,97.24226838547906,97.28290138017194,97.36443724798774,97.44632567749551
237.0032843772796,-1.369012378581987,0.5468267627416545,6.419101183226886,-5.337712760544592,0.20029827375748013,0.9844505910305843,98.74364967162401,96.7529878226823,97.26856308575817,97.28899421434744,97.30944846695364,97.35042582966784,97.43265221303695,97.51523316057066
238.57701954398658,-1.3563363676923554,0.6065058692211398,6.383490042931824,-5.229415396293352,0.19726642237669498,0.9762512091958726,98.83031405778569,96.85360384509677,97.33584002855065,97.3564458810869,97.37707503516071,97.41840270735506,97.50133154570563,97.58461701217632
240.1612045337055,-1.3411049436984572,0.6663418720926264,6.349715286730301,-5.1240269276654775,0.19425482578255962,0.9679985898319781,98.91767558093811,96.95536978934817,97.403593053019,97.42437666395368,97.44518375958512,97.48686783739092,97.57051137966238,97.65451367496723
241.75590873473146,-1.3232755575852073,0.7262398861542058,6.317667205408727,-5.0214135796335055,0.19126383852882387,0.9596948295356033,99.0057724540771,97.05831109583714,97.47185783354568,97.49282231375474,97.51381046749196,97.55585720000536,97.64022800087025,97.72495973957408
243.36120199610866,-1.3028078991456504,0.786102068246938,6.287244709614419,-4.9214485196786235,0.1882937790000094,0.9513419031659214,99.09464288344985,97.16245358575351,97.54067020705006,97.5618187429754,97.58299114693726,97.62540693435287,97.7105178500903,97.79599194671191
244.97715463068772,-1.2796639932178973,0.8458275813113196,6.25835458005789,-4.824011413363126,0.18534493012943207,0.9429416623520175,99.18432504600182,97.26782345164014,97.61006617715469,97.63140202986703,97.65276195077402,97.69555334234812,97.78141752634068,97.86764719021167
246.60383741820755,-1.2538083021753483,0.905312554652154,6.230910794818783,-4.728988008463353,0.1824175401447874,0.9344958341709005,99.27485706531166,97.37444724557082,97.6800819193032,97.70160842347892,97.72315920159596,97.76633289342357,97.85296379124453,97.93996252090272
