z_mm,outer_radius_mm,inner_radius_mm
0.0,43.86342439892262,32.0
0.8333333333333334,44.017212984259544,32.0
1.6666666666666667,44.17100156959646,32.0
2.5,44.32479015493339,32.0
3.3333333333333335,44.478578740270315,32.0
4.166666666666667,44.63236732560724,32.0
5.0,44.78615591094416,32.0
5.833333333333334,44.939944496281086,32.0
6.666666666666667,45.09373308161801,32.0
7.500000000000001,45.24752166695493,32.0
8.333333333333334,45.401310252291864,32.0
9.166666666666666,45.55509883762879,32.0
10.0,45.70888742296571,32.0
10.833333333333334,45.862676008302635,32.0
11.666666666666668,46.01646459363956,32.0
12.5,46.17025317897648,32.0
13.333333333333334,46.32404176431341,32.0
14.166666666666668,46.47783034965033,32.0
15.000000000000002,46.63161893498726,32.0
15.833333333333334,46.78540752032418,32.0
16.666666666666668,46.93919610566111,32.0
17.5,47.09298469099804,32.0
18.333333333333332,47.246773276334956,32.0
19.166666666666668,47.40056186167188,32.0
20.0,47.55435044700881,32.0
20.833333333333336,47.708139032345734,32.0
21.666666666666668,47.86192761768265,32.0
22.500000000000004,48.01571620301958,32.0
23.333333333333336,48.169504788356505,32.0
24.16666666666667,48.323293373693424,32.0
25.0,48.47708195903035,32.0
25.833333333333336,48.63087054436728,32.0
26.666666666666668,48.7846591297042,32.0
27.5,48.93844771504113,32.0
28.333333333333336,49.092236300378055,32.0
29.166666666666668,49.246024885714974,32.0
30.000000000000004,49.3998134710519,32.0
30.833333333333336,49.553602056388826,32.0
31.666666666666668,49.70739064172575,32.0
32.5,49.86117922706267,32.0
33.333333333333336,50.0149678123996,32.0
34.16666666666667,50.16875639773652,32.0
35.0,50.322544983073456,32.0
35.833333333333336,50.476333568410375,32.0
36.666666666666664,50.6301221537473,32.0
37.50000000000001,50.78391073908423,32.0
38.333333333333336,50.937699324421146,32.0
39.16666666666667,51.09148790975807,32.0
40.0,51.245276495095,32.0
40.833333333333336,51.39906508043192,32.0
41.66666666666667,51.55285366576884,32.0
42.5,51.70664225110577,32.0
43.333333333333336,51.86043083644269,32.0
44.166666666666664,52.01421942177962,32.0
45.00000000000001,52.16800800711655,32.0
45.833333333333336,52.32179659245347,32.0
46.66666666666667,52.47558517779039,32.0
47.5,52.62937376312732,32.0
48.33333333333334,52.783162348464245,32.0
49.16666666666667,52.93695093380117,32.0
50.0,53.09073951913809,32.0
50.833333333333336,53.244528104475016,32.0
51.66666666666667,53.39831668981194,32.0
52.50000000000001,53.55210527514886,32.0
53.333333333333336,53.705893860485794,32.0
54.16666666666667,53.85968244582272,32.0
55.0,54.01347103115964,32.0
55.833333333333336,54.167259616496565,32.0
56.66666666666667,54.32104820183349,32.0
57.5,54.47483678717041,32.0
58.333333333333336,54.62862537250734,32.0
59.16666666666667,54.78241395784426,32.0
60.00000000000001,54.93620254318118,32.0
60.833333333333336,55.08999112851811,32.0
61.66666666666667,55.24377971385504,32.0
62.5,55.39756829919196,32.0
63.333333333333336,55.551356884528886,32.0
64.16666666666667,55.70514546986581,32.0
65.0,55.85893405520274,32.0
65.83333333333334,56.012722640539664,32.0
66.66666666666667,56.16651122587658,32.0
67.5,56.32029981121351,32.0
68.33333333333334,56.474088396550435,32.0
69.16666666666667,56.627876981887354,32.0
70.0,56.78166556722428,32.0
70.83333333333333,56.93545415256121,32.0
71.66666666666667,57.08924273789813,32.0
72.50000000000001,57.24303132323506,32.0
73.33333333333333,57.396819908571985,32.0
74.16666666666667,57.5506084939089,32.0
75.00000000000001,57.70439707924583,32.0
75.83333333333334,57.858185664582756,32.0
76.66666666666667,58.011974249919675,32.0
77.5,58.1657628352566,32.0
78.33333333333334,58.31955142059353,32.0
79.16666666666667,58.47334000593045,32.0
80.0,58.62712859126738,32.0
80.83333333333334,58.780917176604305,32.0
81.66666666666667,58.934705761941224,32.0
82.5,59.08849434727816,32.0
83.33333333333334,59.242282932615076,32.0
84.16666666666667,59.396071517952,32.0
85.0,59.54986010328893,32.0
85.83333333333334,59.70364868862585,32.0
86.66666666666667,59.85743727396277,32.0
87.50000000000001,60.0112258592997,32.0
88.33333333333333,60.165014444636626,32.0
89.16666666666667,60.31880302997355,32.0
90.00000000000001,60.47259161531048,32.0
90.83333333333333,60.6263802006474,32.0
91.66666666666667,60.78016878598432,32.0
92.50000000000001,60.93395737132125,32.0
93.33333333333334,61.08774595665817,32.0
94.16666666666667,61.2415345419951,32.0
95.0,61.39532312733202,32.0
95.83333333333334,61.54911171266894,32.0
96.66666666666669,61.70290029800587,32.0
97.5,61.8566888833428,32.0
98.33333333333334,62.010477468679724,32.0
99.16666666666667,62.16426605401665,32.0
99.999999,62.31805445480727,32.0
100.0,62.31805463935357,0
100.83333333333334,62.471843224690495,0
101.66666666666667,62.62563181002742,0
102.50000000000001,62.77942039536434,0
103.33333333333334,62.93320898070126,0
104.16666666666667,63.08699756603819,0
105.00000000000001,63.24078615137511,0
