frequency,spl
565.6854249492379,99.27650687909903
576.1476427247859,99.5367794267873
586.8033567368556,99.80534482383638
597.6561456524518,100.08223699742317
608.7096543251765,100.36740772429533
619.967595019335,100.66070456440215
631.4337486566802,100.96184421070129
643.1119660862162,101.27038066499061
655.0061693774861,101.58566778916197
667.1203531377791,101.9068160878212
679.4585858536991,102.23264413873437
692.0250112575443,102.56162601109
704.8238497189595,102.89183741828332
717.8593996623249,103.22090534099158
731.1360390103603,103.54596844321375
744.658226654428,103.86365861292057
758.4305039520283,104.17011687898008
772.4574962519918,104.46105879727732
786.7439144478784,104.73190365900692
801.2945565601075,104.97797678573924
816.114309347348,105.19478341397674
831.2081499477115,105.37833650710986
846.5811475502985,105.52550227874437
862.23846509766,105.63431221006752
878.1853610197446,105.70418602872486
894.4271909999161,105.73602124674183
910.9694097736316,105.73213028656002
927.8175729603872,105.69603818420829
944.9773389295436,105.63218129750972
962.454470700661,105.54556159801386
980.25483787898,105.44140951455387
998.3844186266977,105.32489478336379
1016.8493016707027,105.20090633603354
1035.6556883474448,105.07390529185174
1054.8098946856196,104.94784322015366
1074.3183535273756,104.82613171946105
1094.1876166887516,104.71164790445141
1114.4243571600705,104.6067618472421
1135.035371347027,104.51337480488462
1156.0275813532294,104.43296009403099
1177.4080373049494,104.36660116054117
1199.1839197188722,104.31502351877926
1221.3625419136365,104.27861880511921
1243.9513524659742,104.25746031197372
1266.9579377122775,104.25131018722371
1290.390024296432,104.25961914381746
1314.255481764768,104.28152015229463
1338.5623252090095,104.3158182869519
1363.3187179581014,104.36097973152454
1388.5329743198206,104.41512394066822
1414.213562373095,104.47602404196742
1427.5699496660804,104.50906442708634
1441.0524799167256,104.5428372287754
1454.662344468574,104.57694689753333
1468.4007459166846,104.61098165954306
1482.268898213896,104.64451663123027
1496.2680267780925,104.67711750189775
1510.3993686004862,104.70834449153548
1524.6641723549185,104.73775295702788
1539.0636985081944,104.76499398563121
1553.599219431467,104.78946694741285
1568.2720195126558,104.81090717054389
1583.0833952699456,104.82890749976346
1598.0346554663467,104.843121744235
1613.1271212253407,104.85324408328621
1628.3621261476171,104.85901414478919
1643.741016428913,104.86022241373882
1659.2651509789664,104.85671492632821
1674.9359015415905,104.84839693552024
1690.754652815886,104.8352353596955
1706.7228025785937,104.81725989362698
1722.8417618076064,104.79456272450854
1739.1129548066458,104.76729686011949
1755.5378193311155,104.73567313900567
1772.117806715145,104.69995604943087
1788.8543819998324,104.66045853100246
1805.749024062696,104.617535967202
1822.80322574836,104.57157959689916
1840.018494000451,104.5230095781314
1857.3963499947647,104.47226792900909
1874.9383292736788,104.41981155070576
1892.6459818818323,104.36610550905036
1910.520872503096,104.31161671719516
1928.5645805988263,104.25680812541252
1946.7787005474345,104.20213348788879
1965.1648417852643,104.14803274260484
1983.7246289488085,104.09492801058963
2002.459702018264,104.04322019595347
2021.371716462441,103.99328614851106
2040.4623433850504,103.94547633640161
2059.7332696723583,103.9001129666535
2079.1861981422453,103.85748848631206
2098.822847694678,103.81786439513871
2118.644953463581,103.78147030203456
2138.654266970166,103.748503160787
2158.8525562777,103.71912662581826
2179.241606147729,103.69347047489907
2199.8232181977887,103.67163005303651
2220.599211060598,103.65366569976614
2241.571420544754,103.63960213112507
2262.741699796952,103.62942775860871
